section,check,expected,actual,status,notes
I,class2_distance_to_drainage_distribution,descriptive only,n=3582 min=4.3357368 median=1352.7671 mean=1624.323278241262 max=4317.4097,INFO,class 2 compared descriptively with class 0 and class 1; no model trained
J,unique cells at 2021-11-08 23:00:00,70626,70626,PASS,
J,unique cells at 2021-11-10 11:00:00,70626,70626,PASS,
J,unique cells at 2021-11-10 18:00:00,70626,70626,PASS,
J,unique cells at 2021-11-12 00:00:00,70626,70626,PASS,
J,unique cells at 2021-11-28 06:00:00,70626,70626,PASS,
J,same spatial cells appear across timestamps,identical cell_id set at every timestamp,yes,PASS,
J,cells in Episode_1,,70626 unique cells across 4 timestamp(s),INFO,
J,cell panel completeness in Episode_1,70626,70626,PASS,
J,cells in Episode_2,,70626 unique cells across 1 timestamp(s),INFO,
J,cell panel completeness in Episode_2,70626,70626,PASS,
J,class 1 at 2021-11-08 23:00:00,,rows=49 unique_cells=49,INFO,
J,class 1 at 2021-11-10 11:00:00,,rows=335 unique_cells=335,INFO,
J,class 1 at 2021-11-10 18:00:00,,rows=477 unique_cells=477,INFO,
J,class 1 at 2021-11-12 00:00:00,,rows=103 unique_cells=103,INFO,
J,class 1 at 2021-11-28 06:00:00,,rows=40 unique_cells=40,INFO,
K,future rainfall columns in inundation dataset,absent (do not use future rainfall),none,PASS,future_* columns would be leakage if used as AI #2 inputs
K,AI #1 rainfall target column leaked into inundation dataset,absent,none,PASS,rainfall_ml_dataset.csv contains target/future_6h_rain; those must not be joined in yet
K,accidental AI #1 prediction columns,absent,none,PASS,Do not add AI #1 predictions as a feature yet
K,post-event / depth / arrival variables,absent,none,PASS,
K,inundation label column,,present as 'label' / 'label_meaning',INFO,This is the AI #2 outcome. It must not be used as a model input. Class 2 must not be recoded as 0.
K,timestamp-derived calendar columns,,"hour, month, day_of_year",INFO,"Derived from timestamp, not from the inundation target. Not baseline AI #2 features. Do not treat as target leakage."
K,duplicated rainfall information,,rain_1h identical to rain_lag_1h: True; precipitation identical to rain_1h: False,INFO,Reported only; columns were not dropped.
K,weather features constant within timestamp (city-level broadcast),,"temperature_2m, relative_humidity_2m, surface_pressure, wind_speed_10m, precipitation, rain_lag_1h, rain_lag_3h, rain_lag_6h, rain_1h, rain_3h, rain_6h, rain_12h, rain_24h, pressure_change_3h, pressure_change_6h, humidity_change_3h, humidity_change_6h, hour, month, day_of_year",INFO,Not target leakage. Rainfall/weather is not cell-specific in this dataset.
