experiment,PR_AUC,CSI,recall,precision,F1,ROC_AUC,Brier,TP,FP,FN,TN,n,n_positive,n_negative
Exp_A_Baseline,0.008055254910120728,0.006827164929931728,0.018924302788844622,0.010567296996662959,0.013561741613133477,0.38508939504788414,0.006008990561357326,19,1779,985,346765,349548,1004,348544
Exp_B_Baseline_plus_AI1,0.007923418890725356,0.007415254237288136,0.013944223107569721,0.015590200445434299,0.014721345951629864,0.41563721815821547,0.005774273588858275,14,884,990,347660,349548,1004,348544
Exp_C_NonAI_Rain24h,0.0035162251562146428,0.0029500911197499085,0.6175298804780877,0.00295549125508273,0.005882827362737981,0.5497587951078535,,620,209159,384,139385,349548,1004,348544
