year,threshold,precision,recall,F1,PR_AUC,Brier,CSI,TN,FP,FN,TP,n_test,n_positive,training_end
2021,0.52,0.45454545454545453,0.40816326530612246,0.43010752688172044,0.3754037301027061,0.0055887289345264435,0.273972602739726,8687,24,29,20,8760,49,2020-12-31 23:00:00
2022,0.91,0.15384615384615385,0.038461538461538464,0.06153846153846154,0.1878778705800194,0.0061836931854486465,0.031746031746031744,8697,11,50,2,8760,52,2021-12-31 23:00:00
2023,0.72,0.6666666666666666,0.3,0.41379310344827586,0.3912002172193446,0.0038300075102597475,0.2608695652173913,8714,6,28,12,8760,40,2022-12-31 23:00:00
2024,0.86,0.6666666666666666,0.208955223880597,0.3181818181818182,0.31382325621584467,0.007431375794112682,0.1891891891891892,8710,7,53,14,8784,67,2023-12-31 23:00:00
2025,0.95,0.52,0.13978494623655913,0.22033898305084745,0.24755242507948824,0.010552892461419106,0.12380952380952381,8649,12,80,13,8754,93,2024-12-31 23:00:00
