model,outer_train_episode,outer_test_episode,threshold,PR_AUC,CSI,recall,precision,F1,ROC_AUC,Brier,TP,FP,FN,TN,train_rows,test_rows,train_positives,train_negatives,train_prevalence,test_positives,test_negatives,test_prevalence
majority_baseline,Episode_1,Episode_2,1.0,0.0005733616191732126,0.0,0.0,0.0,0.0,0.5,0.0005812821413112617,0,0,40,69724,279784,69764,964,278820,0.0034455151116575644,40,69724,0.0005733616191732126
elevation_drainage_heuristic,Episode_1,Episode_2,0.8587578771017967,0.0006622921916505796,0.0009431420102398275,0.7,0.0009435233859010648,0.00188450666307713,0.5878675205094372,0.692647953731578,28,29648,12,40076,279784,69764,964,278820,0.0034455151116575644,40,69724,0.0005733616191732126
logistic_regression,Episode_1,Episode_2,0.7675584925604918,0.000714803906591305,0.0,0.0,0.0,0.0,0.6007959956399518,0.13006670129000159,0,749,40,68975,279784,69764,964,278820,0.0034455151116575644,40,69724,0.0005733616191732126
xgboost,Episode_1,Episode_2,0.9,0.006531193546657868,0.0,0.0,0.0,0.0,0.9031508160748092,0.020811538544342832,0,0,40,69724,279784,69764,964,278820,0.0034455151116575644,40,69724,0.0005733616191732126
majority_baseline,Episode_2,Episode_1,1.0,0.0034455151116575644,0.0,0.0,0.0,0.0,0.5,0.003441892802957294,0,0,964,278820,69764,279784,40,69724,0.0005733616191732126,964,278820,0.0034455151116575644
elevation_drainage_heuristic,Episode_2,Episode_1,0.9188728284294022,0.003733341485119928,0.003673354054817745,0.026970954356846474,0.004234527687296417,0.00731981981981982,0.5454392860725148,0.6907319566413239,26,6114,938,272706,69764,279784,40,69724,0.0005733616191732126,964,278820,0.0034455151116575644
logistic_regression,Episode_2,Episode_1,0.8274805355131464,0.002602840119416701,0.001392549858258318,0.029045643153526972,0.0014605393563194408,0.0027812267196424137,0.38538763761685657,0.15371742155979856,28,19143,936,259677,69764,279784,40,69724,0.0005733616191732126,964,278820,0.0034455151116575644
xgboost,Episode_2,Episode_1,0.95,0.0037802892827525085,0.004087193460490463,0.006224066390041493,0.011764705882352941,0.008141112618724558,0.5030978395615667,0.04499914819931949,6,504,958,278316,69764,279784,40,69724,0.0005733616191732126,964,278820,0.0034455151116575644
