loeo_direction,timestamp,n_cells,mean,median,std,min,max,p05,p25,p75,p95
Episode_1_to_Episode_2,2021-11-28 06:00:00,70626,0.088350475,0.043149628,0.11374335,0.003945283,0.74706805,0.008618049,0.022365458,0.09645774,0.34916714
Episode_2_to_Episode_1,2021-11-08 23:00:00,70626,0.07940196,0.009239466,0.18975694,0.0014429922,0.97293174,0.003460132,0.0048119193,0.02027257,0.5778233
Episode_2_to_Episode_1,2021-11-10 11:00:00,70626,0.07940196,0.009239466,0.18975694,0.0014429922,0.97293174,0.003460132,0.0048119193,0.02027257,0.5778233
Episode_2_to_Episode_1,2021-11-10 18:00:00,70626,0.07940196,0.009239466,0.18975694,0.0014429922,0.97293174,0.003460132,0.0048119193,0.02027257,0.5778233
Episode_2_to_Episode_1,2021-11-12 00:00:00,70626,0.07940196,0.009239466,0.18975694,0.0014429922,0.97293174,0.003460132,0.0048119193,0.02027257,0.5778233
