timestamp,feature,unique_count,min,max,std,coefficient_of_variation
2021-11-08 23:00:00,rain_1h,1,0.7,0.7,2.220446049250313e-16,3.1720657846433035e-16
2021-11-08 23:00:00,rain_3h,1,1.6999999999999935,1.6999999999999935,0.0,0.0
2021-11-08 23:00:00,rain_6h,1,2.8000000000000105,2.8000000000000105,4.440892098500626e-16,1.586032892321646e-16
2021-11-08 23:00:00,rain_12h,1,3.3000000000000016,3.3000000000000016,0.0,0.0
2021-11-08 23:00:00,rain_24h,1,14.099999999999996,14.099999999999996,1.7763568394002505e-15,1.259827545673937e-16
2021-11-08 23:00:00,precipitation,1,1.1,1.1,4.440892098500626e-16,4.0371746350005706e-16
2021-11-10 11:00:00,rain_1h,1,1.4,1.4,4.440892098500626e-16,3.1720657846433035e-16
2021-11-10 11:00:00,rain_3h,1,3.7999999999999945,3.7999999999999945,4.440892098500626e-16,1.1686558153949035e-16
2021-11-10 11:00:00,rain_6h,1,12.600000000000009,12.600000000000009,0.0,0.0
2021-11-10 11:00:00,rain_12h,1,15.000000000000002,15.000000000000002,1.7763568394002505e-15,1.1842378929335e-16
2021-11-10 11:00:00,rain_24h,1,20.599999999999994,20.599999999999994,0.0,0.0
2021-11-10 11:00:00,precipitation,1,2.7,2.7,8.881784197001252e-16,3.289549702593057e-16
2021-11-10 18:00:00,rain_1h,1,3.4,3.4,4.440892098500626e-16,1.3061447348531256e-16
2021-11-10 18:00:00,rain_3h,1,8.199999999999996,8.199999999999996,0.0,0.0
2021-11-10 18:00:00,rain_6h,1,16.00000000000001,16.00000000000001,0.0,0.0
2021-11-10 18:00:00,rain_12h,1,30.8,30.8,1.0658141036401503e-14,3.460435401429058e-16
2021-11-10 18:00:00,rain_24h,1,34.599999999999994,34.599999999999994,0.0,0.0
2021-11-10 18:00:00,precipitation,1,4.0,4.0,0.0,0.0
2021-11-12 00:00:00,rain_1h,1,0.2,0.2,5.551115123125783e-17,2.775557561562892e-16
2021-11-12 00:00:00,rain_3h,1,0.3999999999999929,0.3999999999999929,1.1102230246251565e-16,2.775557561562941e-16
2021-11-12 00:00:00,rain_6h,1,0.4000000000000142,0.4000000000000142,5.551115123125783e-17,1.3877787807813966e-16
2021-11-12 00:00:00,rain_12h,1,28.4,28.4,7.105427357601002e-15,2.501911041408803e-16
2021-11-12 00:00:00,rain_24h,1,186.3,186.3,5.684341886080802e-14,3.051176535738488e-16
2021-11-12 00:00:00,precipitation,1,0.0,0.0,0.0,
2021-11-28 06:00:00,rain_1h,1,0.9,0.9,1.1102230246251565e-16,1.233581138472396e-16
2021-11-28 06:00:00,rain_3h,1,2.499999999999993,2.499999999999993,4.440892098500626e-16,1.7763568394002557e-16
2021-11-28 06:00:00,rain_6h,1,6.500000000000015,6.500000000000015,0.0,0.0
2021-11-28 06:00:00,rain_12h,1,14.8,14.8,1.7763568394002505e-15,1.200241107702872e-16
2021-11-28 06:00:00,rain_24h,1,27.2,27.2,3.552713678800501e-15,1.3061447348531256e-16
2021-11-28 06:00:00,precipitation,1,0.8,0.8,2.220446049250313e-16,2.775557561562892e-16
